,SherpaFake,SherpaTruth,PoPyFake,PoPyTruth,Zjets,VV
elec_0_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_TightLLH_d0z0_v13,0.5848776698112488,2133.526611328125,0.0,2406.518798828125,2.8939437866210938,37.39186179637909
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCLoose,0.5810743570327759,2115.3759765625,0.0,2385.187255859375,2.8673954010009766,37.086270213127136
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,0.5814228057861328,2116.957763671875,0.0,2386.94677734375,2.869929075241089,37.11408546566963
elec_0_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_RecoTrk,0.581525444984436,2117.748779296875,0.0,2387.90234375,2.871354103088379,37.129525899887085
elec_0_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,0.5820748805999756,2119.59375,0.0,2389.610595703125,2.87551212310791,37.14745047688484
jet_FT_EFF_Eigen_B_0_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_B_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2113.844970703125,0.0,2383.303955078125,2.8665177822113037,37.06244075298309
jet_FT_EFF_Eigen_B_1_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_B_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.93798828125,0.0,2384.5478515625,2.8665177822113037,37.079564929008484
jet_FT_EFF_Eigen_B_2_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_B_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2113.83935546875,0.0,2383.1611328125,2.8665177822113037,37.067575335502625
jet_FT_EFF_Eigen_C_0_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_C_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2122.9208984375,0.0,2392.380859375,2.8665177822113037,37.453970551490784
jet_FT_EFF_Eigen_C_1_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_C_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2117.439697265625,0.0,2387.963623046875,2.8665177822113037,37.205039858818054
jet_FT_EFF_Eigen_C_2_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_C_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.49169921875,0.0,2384.60595703125,2.8665177822113037,37.0622421503067
jet_FT_EFF_Eigen_C_3_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_C_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.8896484375,0.0,2384.646484375,2.8665177822113037,37.07992362976074
jet_FT_EFF_Eigen_Light_0_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_Light_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5866367816925049,2134.097900390625,0.0,2404.01318359375,2.8724536895751953,37.48832482099533
jet_FT_EFF_Eigen_Light_1_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_Light_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5807384252548218,2115.028076171875,0.0,2384.90576171875,2.8665854930877686,37.083294093608856
jet_FT_EFF_Eigen_Light_2_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_Light_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5805259943008423,2114.50244140625,0.0,2384.211669921875,2.86641526222229,37.07222533226013
jet_FT_EFF_Eigen_Light_3_1up_global_effSF_MV2c10_FixedCutBEff_85,0.5809561014175415,2114.838623046875,0.0,2384.5966796875,2.8665177822113037,37.078466296195984
jet_FT_EFF_Eigen_Light_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,0.5810232758522034,2114.875732421875,0.0,2384.572998046875,2.866575241088867,37.08013600111008
