36.657844, 0.436170, -2.024237, 1.000000, 0.164741, 27.460338, 0.825072, 2.773186, -1.000000, 63.790623, 0.288674, 1.485762, 2.312911, 2.484512, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
26.514658, -0.664350, -2.690028, -1.000000, 0.714697, 51.588504, 1.131731, -0.543469, -1.000000, 22.764934, 1.237873, 2.146559, 2.355284, 1.781342, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
29.069551, 1.218057, 1.368201, -1.000000, 0.757226, 40.629398, 1.827530, 2.750072, 1.000000, 54.868036, -0.884591, 1.381870, 2.252792, 2.648523, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
136.364453, -1.018216, -1.197334, 1.000000, 0.951039, 80.452008, 0.656977, 1.857700, -1.000000, 49.344089, 2.095192, 3.055033, 2.990659, 0.237493, 2, Passed, Passed, Passed, Passed, NOPASS, Passed
30.051514, -0.744009, 1.483223, 1.000000, 0.264194, 35.775684, -1.813290, 2.044914, -1.000000, 54.117041, -1.067269, 0.561690, 2.550492, 3.112183, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
28.164744, -0.881145, -0.771416, 1.000000, 0.294738, 37.171891, -0.525713, -2.174117, -1.000000, 57.765996, 1.508287, 1.402701, 2.279704, 2.600781, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
25.664502, -2.166854, -3.037697, -1.000000, 0.311226, 26.453221, -1.270631, 0.430942, 1.000000, 6.907708, -1.495638, 2.814546, 1.542059, 1.926580, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
34.324465, -0.120169, -2.899039, 1.000000, 0.406104, 27.476797, 2.128211, 0.618826, 1.000000, 13.120548, -0.856523, 2.765320, 2.042516, 1.475349, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
26.399672, 0.163895, 1.093892, -1.000000, 0.185156, 28.352682, -0.427888, -2.083583, 1.000000, 34.568619, 0.272136, 3.105710, 0.821756, 2.355719, 1, Passed, Passed, Passed, Passed, NOPASS, Passed
33.833309, 0.713504, -2.566478, 1.000000, 0.378698, 28.727574, 2.151182, 0.592251, -1.000000, 15.854717, 1.306053, 3.124456, 2.410654, 0.713802, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
29.794594, -0.130297, 2.155161, 1.000000, 0.457668, 42.575277, 2.018744, 0.182482, 1.000000, 41.366369, 1.734892, 1.972679, 0.420269, 1.552409, 0, Passed, Passed, Passed, NOPASS, Passed, Passed
30.305359, 2.001882, 2.428439, 1.000000, 0.411340, 56.163297, 0.362382, -0.367140, -1.000000, 37.499108, -1.683675, 2.795579, 2.171071, 1.316536, 1, Passed, Passed, Passed, Passed, NOPASS, Passed
31.153350, 1.056898, 0.126323, 1.000000, 0.429779, 30.219600, 1.600460, -0.874667, 1.000000, 46.021914, 2.925034, 1.000989, 2.798712, 2.483484, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
35.064254, -0.105128, -0.585804, 1.000000, 0.303005, 27.649990, 2.288129, 2.504840, 1.000000, 23.895805, 2.195665, 3.090643, 2.781469, 0.309175, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
29.809299, -0.235767, -0.581385, -1.000000, 0.436083, 27.735104, -1.163283, 2.797352, -1.000000, 17.520457, 1.424323, 2.904448, 2.005709, 1.373029, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
30.444779, 0.246976, -1.154039, 1.000000, 0.359323, 27.488959, 2.111315, 2.195664, -1.000000, 6.479524, -2.709461, 2.933483, 1.555422, 1.378061, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
25.077568, -0.148990, 1.947372, 1.000000, 0.215802, 48.847566, 2.047523, 1.073639, 1.000000, 32.579303, 1.456246, 0.873734, 0.491126, 0.382607, 1, Passed, Passed, Passed, NOPASS, Passed, Passed
26.320975, 0.179468, 1.762445, 1.000000, 0.230505, 96.796531, -2.217567, -1.224702, 1.000000, 31.554823, 2.129080, 2.987147, 0.366635, 2.929403, 1, Passed, Passed, Passed, NOPASS, NOPASS, Passed
26.279424, -2.197073, -1.262930, -1.000000, 0.670601, 48.022355, -2.020519, 1.900396, 1.000000, 25.114586, -1.044560, 3.119860, 0.218370, 2.944956, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
25.898668, -0.300457, 1.066827, -1.000000, 0.152149, 40.083660, 0.430910, 0.150192, -1.000000, 55.331979, -2.589762, 0.916635, 2.626596, 2.739954, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
31.000938, -0.448225, -1.930151, -1.000000, 0.494558, 36.612098, -0.833254, 1.268193, 1.000000, 15.203700, -1.713550, 3.084841, 0.216601, 2.981743, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
25.317408, -1.313765, 1.045666, 1.000000, 0.400536, 28.130859, -0.306633, -2.122070, -1.000000, 12.497548, 1.239644, 3.115449, 0.193978, 2.921471, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
40.553754, -1.032464, -1.425548, 1.000000, 0.270377, 46.035023, -0.929618, 2.695502, 1.000000, 17.861218, -1.744122, 2.162136, 0.318573, 1.843562, 0, Passed, Passed, Passed, NOPASS, Passed, Passed
