,SherpaFake,SherpaTruth,PoPyFake,PoPyTruth,Zmumu,VV
jet_FT_EFF_Eigen_B_1_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_B_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.17019653320312,10144.146759033203,88.36888885498047,9463.62865447998,264.6115103662014,166.5013542175293
jet_FT_EFF_Eigen_B_1_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_B_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.19585418701172,10145.148002624512,88.37576293945312,9463.991973876953,264.57592687010765,166.5267505645752
jet_FT_EFF_Eigen_B_2_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_B_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.23217010498047,10149.37084197998,88.52071380615234,9470.059776306152,264.63403233885765,166.59275722503662
jet_FT_EFF_Eigen_B_2_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_B_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.13387298583984,10139.93074798584,88.22393798828125,9457.600891113281,264.5534048974514,166.43638515472412
jet_FT_EFF_Eigen_C_0_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,122.80109405517578,10113.427070617676,88.25203704833984,9438.63777923584,263.92846593260765,165.06485843658447
jet_FT_EFF_Eigen_C_0_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.56749725341797,10176.114372253418,88.49262237548828,9489.133247375488,265.2668143212795,167.97620296478271
jet_FT_EFF_Eigen_C_1_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.06761169433594,10134.079330444336,88.29887390136719,9454.490280151367,264.4526053369045,166.05451011657715
jet_FT_EFF_Eigen_C_1_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.29853057861328,10155.229194641113,88.44578552246094,9473.138168334961,264.7344351708889,166.9742374420166
jet_FT_EFF_Eigen_C_2_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.18885803222656,10146.032608032227,88.37581634521484,9464.980308532715,264.70800694823265,166.59427547454834
jet_FT_EFF_Eigen_C_2_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.1771469116211,10143.264060974121,88.36885070800781,9462.639358520508,264.479582875967,166.43394374847412
jet_FT_EFF_Eigen_C_3_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.17655181884766,10144.711708068848,88.37781524658203,9463.920783996582,264.5935660302639,166.51028060913086
jet_FT_EFF_Eigen_C_3_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_C_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.18949890136719,10144.584030151367,88.3668441772461,9463.697898864746,264.5939017236233,166.51790046691895
jet_FT_EFF_Eigen_Light_0_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,122.17146301269531,10053.577713012695,87.6620864868164,9389.006813049316,262.7665091454983,164.66508674621582
jet_FT_EFF_Eigen_Light_0_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,124.20088195800781,10236.325881958008,89.08545684814453,9538.960456848145,266.4280386865139,168.38115882873535
jet_FT_EFF_Eigen_Light_1_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.18761444091797,10143.347770690918,88.34857177734375,9462.608337402344,264.6095267236233,166.4964427947998
jet_FT_EFF_Eigen_Light_1_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.17841339111328,10145.947944641113,88.3960952758789,9465.005470275879,264.5779410302639,166.53169345855713
jet_FT_EFF_Eigen_Light_2_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.19046783447266,10146.334999084473,88.3783187866211,9465.560935974121,264.66747960448265,166.5385456085205
jet_FT_EFF_Eigen_Light_2_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.1755599975586,10142.958763122559,88.36636352539062,9462.05386352539,264.52001866698265,166.4896068572998
jet_FT_EFF_Eigen_Light_3_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.18242645263672,10144.555473327637,88.3731460571289,9463.824317932129,264.58715733885765,166.5074644088745
jet_FT_EFF_Eigen_Light_3_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_Eigen_Light_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.18357849121094,10144.742172241211,88.37151336669922,9463.7894821167,264.60034093260765,166.52068424224854
jet_FT_EFF_extrapolation_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_extrapolation_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.19676971435547,10145.634269714355,88.37805938720703,9464.670051574707,264.59374913573265,166.56844806671143
