,Sherpa,PoPy,VV
jet_JET_JvtEfficiency_1up_central_jets_global_ineffSF_JVT,[321270.5803222656],[335777.61895751953],[6804.42014503479]
jet_JET_fJvtEfficiency_1up_forward_jets_global_effSF_JVT,[323420.97454833984],[337459.82598876953],[6861.631818771362]
jet_JET_fJvtEfficiency_1up_forward_jets_global_ineffSF_JVT,[321023.314453125],[335646.7191772461],[6796.636171340942]
elec_0_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_TightLLH_d0z0_v13,[318730.0065307617],[332987.5871887207],[6748.637899398804]
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCLoose,[322042.58459472656],[336360.1395263672],[6827.194078445435]
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,[321803.79876708984],[336109.4669189453],[6821.975492477417]
elec_0_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_RecoTrk,[321691.9627685547],[335985.4302368164],[6820.695777893066]
elec_0_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,[321658.67559814453],[335949.67639160156],[6820.611326217651]
elec_1_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_TightLLH_d0z0_v13,[320154.88555908203],[334403.77252197266],[6786.419551849365]
elec_1_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCLoose,[322166.08349609375],[336480.22607421875],[6830.622114181519]
elec_1_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,[321953.9443359375],[336259.50799560547],[6826.100511550903]
elec_1_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_RecoTrk,[321821.84423828125],[336122.3854370117],[6823.183776855469]
elec_1_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,[321776.90802001953],[336073.9525756836],[6822.815574645996]
jet_FT_EFF_Eigen_B_0_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_B_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322446.2116088867],[336687.4694824219],[6836.596345901489]
jet_FT_EFF_Eigen_B_1_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_B_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322214.9104003906],[336539.8071899414],[6831.797580718994]
jet_FT_EFF_Eigen_B_2_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_B_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322443.2328491211],[336705.37884521484],[6836.2181396484375]
jet_FT_EFF_Eigen_C_0_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[321073.1526489258],[335556.5045776367],[6775.587371826172]
jet_FT_EFF_Eigen_C_1_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[321828.3421020508],[336185.67810058594],[6814.667921066284]
jet_FT_EFF_Eigen_C_2_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322278.7407836914],[336598.88903808594],[6834.836456298828]
jet_FT_EFF_Eigen_C_3_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322241.04412841797],[336566.3468017578],[6831.968372344971]
jet_FT_EFF_Eigen_Light_0_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[319140.33212280273],[333718.55432128906],[6759.714546203613]
jet_FT_EFF_Eigen_Light_1_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322196.0570678711],[336501.5675048828],[6831.8847579956055]
jet_FT_EFF_Eigen_Light_2_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322287.23681640625],[336613.9928588867],[6833.140769958496]
jet_FT_EFF_Eigen_Light_3_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322237.17517089844],[336559.4471435547],[6832.084201812744]
jet_FT_EFF_extrapolation_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_extrapolation_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322284.44079589844],[336580.67401123047],[6835.008846282959]
jet_FT_EFF_extrapolation_from_charm_1down_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_extrapolation_from_charm_1down_global_ineffSF_MV2c10_FixedCutBEff_85,[322237.2973022461],[336553.1919555664],[6839.025682449341]
jet_JET_JvtEfficiency_1down_central_jets_global_effSF_JVT,[nan],[335504.85357666016],[nan]
jet_JET_JvtEfficiency_1down_central_jets_global_ineffSF_JVT,[323115.21447753906],[337251.6096801758],[6857.765184402466]
jet_JET_fJvtEfficiency_1down_forward_jets_global_effSF_JVT,[321059.59283447266],[335649.83880615234],[6803.318344116211]
jet_JET_fJvtEfficiency_1down_forward_jets_global_ineffSF_JVT,[323463.8871459961],[337466.7658691406],[6868.484546661377]
