,Sherpa,PoPy,VV
JET_JER_EffectiveNP_3_1up,319086.682922363,335729.17956543,6303.46594619751
JET_JER_EffectiveNP_4_1up,318235.837097168,335587.300537109,6285.05403423309
JET_JER_EffectiveNP_5_1up,318153.545898438,335742.798339844,6256.18220901489
JET_JER_EffectiveNP_6_1up,318869.270141602,335577.624206543,6270.48406410217
JET_JER_EffectiveNP_7restTerm_1up,319111.827697754,335752.706604004,6279.78528690338
JET_TILECORR_Uncertainty_1up,317531.818908691,335818.649353027,6265.78571891785
,,,
,,,
elecs_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_TightLLH_d0z0_v13,316709.40927124,330836.415161133,6695.80577468872
elecs_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,321555.967773438,335778.983703613,6807.97200202942
elecs_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_RecoTrk,321313.003967285,335518.486328125,6803.80051994324
elecs_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,321233.475097656,335434.857116699,6803.33171653748
jet_FT_EFF_Eigen_B_0_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_B_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322483.914794922,336649.571350098,6828.76249504089
jet_FT_EFF_Eigen_B_1_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_B_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322250.736572266,336502.390380859,6824.05529594421
jet_FT_EFF_Eigen_B_2_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_B_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322480.596191406,336668.402404785,6828.52353477478
jet_FT_EFF_Eigen_C_0_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_C_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,321114.99005127,335520.243530273,6767.97200584412
jet_FT_EFF_Eigen_C_1_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_C_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,321865.659057617,336149.200317383,6806.79038238525
jet_FT_EFF_Eigen_C_2_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_C_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322313.584594727,336561.937561035,6827.18810462952
jet_FT_EFF_Eigen_C_3_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_C_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322276.406799316,336528.773986816,6824.27819252014
jet_FT_EFF_Eigen_Light_0_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_Light_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,319172.86114502,333680.748535156,6752.20515060425
jet_FT_EFF_Eigen_Light_1_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_Light_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322232.21661377,336463.960388184,6824.11858558655
jet_FT_EFF_Eigen_Light_2_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_Light_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322322.823608398,336576.521728516,6825.39237213135
jet_FT_EFF_Eigen_Light_3_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_Eigen_Light_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322273.147033691,336521.877502441,6824.34704017639
jet_FT_EFF_extrapolation_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_extrapolation_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322320.324462891,336543.021484375,6827.26922225952
jet_FT_EFF_extrapolation_from_charm_1down_global_effSF_MV2c10_FixedCutBEff_85,322273.006774902,336515.411560059,6824.63912963867
jet_FT_EFF_extrapolation_from_charm_1down_global_ineffSF_MV2c10_FixedCutBEff_85,322273.128234863,336515.571716309,6831.13504600525
jet_JET_JvtEfficiency_1down_central_jets_global_effSF_JVT,321031.817993164,335466.771118164,6791.08900260925
jet_JET_JvtEfficiency_1down_central_jets_global_ineffSF_JVT,323151.563110352,337213.899963379,6849.7778377533
jet_JET_fJvtEfficiency_1down_forward_jets_global_effSF_JVT,321090.394287109,335615.448425293,6795.29179000854
jet_JET_fJvtEfficiency_1down_forward_jets_global_ineffSF_JVT,323511.53918457,337425.270385742,6861.12895393372
EG_RESOLUTION_ALL_1down,318682.545043945,335580.230407715,6263.61673641205
EG_SCALE_AF2_1down,318298.637054443,335407.245178223,6263.25119972229
EG_SCALE_ALL_1down,316499.238708496,333430.274536133,6269.42381858826
MET_SoftTrk_Scale_1down,318161.894592285,335643.538696289,6304.16121482849
JET_EtaIntercalibration_NonClosure_2018data_1down,317931.47454834,335350.538024902,6262.23449039459
JET_EtaIntercalibration_NonClosure_highE_1down,318395.615631103,335671.334228516,6262.56645965576
JET_EtaIntercalibration_NonClosure_negEta_1down,317870.266845703,335599.313171387,6267.82028484345
JET_EtaIntercalibration_NonClosure_posEta_1down,318484.094726562,335561.408752441,6265.16914367676
JET_Flavor_Response_1down,317467.093841553,335527.126281738,6290.00589370728
JET_GroupedNP_1_1down,318817.362182617,335763.459716797,6273.11760044098
JET_GroupedNP_2_1down,318262.824707031,335831.958312988,6275.94929504395
JET_GroupedNP_3_1down,318443.889099121,335665.777648926,6262.62318992615
JET_JER_DataVsMC_MC16_1down,318153.023284912,335765.142395019,6278.75503921509
JET_JER_EffectiveNP_1_1down,318333.044311523,335941.49206543,6293.52466964722
JET_JER_EffectiveNP_2_1down,319044.376098633,335616.81829834,6273.38671875
JET_JER_EffectiveNP_3_1down,318223.655914307,335900.821350098,6262.80733108521
JET_JER_EffectiveNP_4_1down,318686.157226562,335564.43145752,6291.93050193787
JET_JER_EffectiveNP_5_1down,318103.931732178,335718.011535645,6289.40657424927
JET_JER_EffectiveNP_6_1down,318680.045471191,335586.427429199,6277.22637462616
JET_JER_EffectiveNP_7restTerm_1down,318482.361572266,335762.851837158,6276.12956905365
JET_TILECORR_Uncertainty_1down,318926.637939453,335295.49822998,6289.30142688751
,,,
,,,
elec_0_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_TightLLH_d0z0_v13,325783.698425293,340076.798522949,6908.29414176941
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,322707.083374023,336958.88873291,6835.03618240357
elec_0_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_RecoTrk,322818.508544922,337082.803222656,6836.30067825317
elec_0_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,322853.161010742,337118.171569824,6836.40072822571
elec_1_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_TightLLH_d0z0_v13,324357.46673584,338664.502929687,6870.59183120728
elec_1_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,322556.406494141,336808.883544922,6830.9199962616
elec_1_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_RecoTrk,322688.34552002,336945.878173828,6833.83201980591
elec_1_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,322733.601013184,336994.480285645,6834.20692825317
,,,
elec_0_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_TightLLH_d0z0_v13,318762.393676758,332954.040893555,6740.98343276978
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,321838.916381836,336072.027587891,6814.24133491516
elec_0_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_RecoTrk,321727.54095459,335948.04486084,6812.9767036438
elec_0_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,321692.917907715,335912.710021973,6812.87629127503
elec_1_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_TightLLH_d0z0_v13,320188.57800293,334366.383728027,6778.68538856506
elec_1_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,321989.695739746,336221.970031738,6818.35793495178
elec_1_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_RecoTrk,321857.707519531,336084.989440918,6815.44584655762
elec_1_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,321812.446411133,336036.390625,6815.07139205933
