,Sherpa,PoPy,VV
jet_FT_EFF_Eigen_B_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429189.69665527344,467137.0310058594,8476.406605820637
jet_FT_EFF_Eigen_B_1_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_B_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429495.99725341797,467326.48907470703,8481.89474401949
jet_FT_EFF_Eigen_B_2_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_B_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429202.4451904297,467115.35357666016,8477.0244742441
jet_FT_EFF_Eigen_C_0_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,430988.71563720703,468629.66369628906,8550.696086029988
jet_FT_EFF_Eigen_C_1_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429967.52935791016,467770.4067993164,8501.839127640706
jet_FT_EFF_Eigen_C_2_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429404.7803955078,467240.9545288086,8477.544793229084
jet_FT_EFF_Eigen_C_3_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429466.4001464844,467294.92626953125,8481.612094025593
jet_FT_EFF_Eigen_Light_0_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,433619.724609375,471228.4436035156,8570.470127745997
jet_FT_EFF_Eigen_Light_1_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429509.53259277344,467374.43225097656,8481.610403278843
jet_FT_EFF_Eigen_Light_2_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429389.67083740234,467216.99591064453,8480.12360041961
jet_FT_EFF_Eigen_Light_3_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429471.8469848633,467304.5980834961,8481.690678422805
jet_FT_EFF_extrapolation_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
