,SherpaFake,SherpaTruth,PoPyFake,PoPyTruth,Zmumu,VV
NOMINAL,2.5238802433013916,2978.584228515625,0.0,3042.580322265625,1.0215680599212646,41.74687498807907
MET_SoftTrk_ResoPara,2.5238802433013916,3021.96826171875,0.0,3086.15380859375,0.6375190019607544,42.15732979774475
MET_SoftTrk_ResoPerp,2.523155689239502,3035.56689453125,0.0,3046.356201171875,0.7419219017028809,42.06628891825676
MET_SoftTrk_Scale_1up,2.5238802433013916,3045.182861328125,0.0,3077.637939453125,0.6375190019607544,41.94616784155369
MUON_ID_1up,2.5238802433013916,2981.22705078125,0.0,3051.75,0.7783728837966919,41.69804686307907
MUON_MS_1up,2.5238802433013916,2978.206787109375,0.0,3042.35791015625,0.7783728837966919,41.73923796415329
MUON_SAGITTA_RESBIAS_1up,2.499098777770996,2989.254150390625,0.0,3051.9404296875,1.0214101076126099,41.88587315380573
MUON_SAGITTA_RHO_1up,2.498812675476074,3005.1650390625,0.0,3072.464599609375,1.0214101076126099,41.53823432326317
MUON_SCALE_1up,2.5238802433013916,2975.4375,0.0,3037.349365234375,1.0215680599212646,41.71169584989548
TAUS_TRUEHADTAU_SME_TES_DETECTOR_1up,2.530439853668213,2902.07421875,0.0,2989.10888671875,1.0215680599212646,40.66934508085251
TAUS_TRUEHADTAU_SME_TES_INSITUEXP_1up,2.5238802433013916,3008.177734375,0.0,3074.26904296875,1.0215680599212646,42.02870863676071
TAUS_TRUEHADTAU_SME_TES_INSITUFIT_1up,2.5238802433013916,3034.572998046875,0.0,3129.23681640625,1.0215680599212646,42.39845961332321
TAUS_TRUEHADTAU_SME_TES_MODEL_CLOSURE_1up,2.5238802433013916,2982.86767578125,0.0,3038.343017578125,1.0215680599212646,41.78090971708298
TAUS_TRUEHADTAU_SME_TES_PHYSICSLIST_1up,2.5238802433013916,2979.278076171875,0.0,3033.27978515625,1.0215680599212646,41.51724165678024
MET_SoftTrk_Scale_1down,2.5238802433013916,2900.6572265625,0.0,2995.55322265625,0.7783728837966919,41.14435486495495
MUON_ID_1down,2.5238802433013916,2975.143798828125,0.0,3043.1455078125,1.0215680599212646,41.8772651553154
MUON_MS_1down,2.499098777770996,2976.07666015625,0.0,3049.79052734375,1.0215680599212646,41.818926990032196
MUON_SAGITTA_RESBIAS_1down,2.499098777770996,2989.230712890625,0.0,3054.375244140625,1.0214101076126099,41.8905041962862
MUON_SAGITTA_RHO_1down,2.498812675476074,3005.1123046875,0.0,3072.464599609375,1.0214101076126099,41.53823432326317
MUON_SCALE_1down,2.5238802433013916,2992.2958984375,0.0,3052.92333984375,0.7783728837966919,41.742572009563446
TAUS_TRUEHADTAU_SME_TES_DETECTOR_1down,2.5238802433013916,3026.033203125,0.0,3092.53662109375,1.0215680599212646,42.75561445951462
TAUS_TRUEHADTAU_SME_TES_INSITUEXP_1down,2.5238802433013916,2951.138916015625,0.0,3015.57421875,1.0215680599212646,41.05162733793259
TAUS_TRUEHADTAU_SME_TES_INSITUFIT_1down,2.5238802433013916,2911.1728515625,0.0,2956.874755859375,1.0215680599212646,40.39673155546188
TAUS_TRUEHADTAU_SME_TES_MODEL_CLOSURE_1down,2.5238802433013916,2982.99169921875,0.0,3038.878662109375,1.0215680599212646,41.811446368694305
TAUS_TRUEHADTAU_SME_TES_PHYSICSLIST_1down,2.5238802433013916,2970.02197265625,0.0,3036.868408203125,1.0215680599212646,41.64384001493454
