,SherpaFake,SherpaTruth,PoPyFake,PoPyTruth,Zmumu,VV
NOMINAL,122.90962219238281,10019.5830078125,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
MET_SoftTrk_ResoPara,122.32453918457031,10172.0,108.0848388671875,11207.9736328125,154.0941925048828,166.22817516326904
MET_SoftTrk_ResoPerp,122.80976104736328,10194.896484375,108.83790588378906,11209.638671875,149.28393483161926,165.7941951751709
MET_SoftTrk_Scale_1up,123.257080078125,10181.376953125,110.216064453125,11231.79296875,156.143492937088,166.57396411895752
MUON_ID_1up,123.47150421142578,10029.943359375,101.08280944824219,11066.083984375,152.46362233161926,164.5756950378418
MUON_MS_1up,123.18798828125,10018.3154296875,103.17576599121094,11073.734375,153.01122975349426,164.6903977394104
MUON_SAGITTA_RESBIAS_1up,122.0208740234375,10050.8291015625,106.29214477539062,11084.7587890625,153.33671498298645,164.19822645187378
MUON_SAGITTA_RHO_1up,123.07647705078125,10077.609375,104.69613647460938,11097.7998046875,151.01493763923645,164.46926069259644
MUON_SCALE_1up,122.90667724609375,10008.6953125,103.17576599121094,11056.6591796875,153.07601857185364,164.65548133850098
TAUS_TRUEHADTAU_SME_TES_DETECTOR_1up,122.90962219238281,9879.0166015625,103.17576599121094,10911.6845703125,152.54133534431458,162.03039169311523
TAUS_TRUEHADTAU_SME_TES_INSITUEXP_1up,122.90962219238281,10125.8564453125,103.17576599121094,11167.37890625,152.54133534431458,165.79535579681396
TAUS_TRUEHADTAU_SME_TES_INSITUFIT_1up,122.90962219238281,10190.9501953125,103.17576599121094,11283.7451171875,152.54133534431458,166.87997198104858
TAUS_TRUEHADTAU_SME_TES_MODEL_CLOSURE_1up,122.90962219238281,10062.560546875,103.17576599121094,11111.0546875,152.54133534431458,165.01644039154053
TAUS_TRUEHADTAU_SME_TES_PHYSICSLIST_1up,122.90962219238281,10133.021484375,103.17576599121094,11182.423828125,152.54133534431458,165.7130560874939
MET_SoftTrk_Scale_1down,117.86703491210938,9892.986328125,99.59617614746094,10950.2080078125,149.65833973884583,163.30640840530396
MUON_ID_1down,122.80691528320312,10015.439453125,103.17576599121094,11071.419921875,152.06794667243958,164.58150720596313
MUON_MS_1down,122.91471862792969,10038.796875,103.60186767578125,11073.9833984375,152.2562096118927,164.53267908096313
MUON_SAGITTA_RESBIAS_1down,122.0208740234375,10050.3876953125,106.29214477539062,11084.7587890625,153.06906056404114,164.18647718429565
MUON_SAGITTA_RHO_1down,123.07647705078125,10076.08984375,104.69613647460938,11097.794921875,151.01493763923645,164.46926069259644
MUON_SCALE_1down,123.16740417480469,10051.2412109375,103.17576599121094,11086.1591796875,152.40009999275208,164.58025598526
TAUS_TRUEHADTAU_SME_TES_DETECTOR_1down,123.4749526977539,10147.748046875,103.17576599121094,11269.1611328125,152.54133534431458,167.64240169525146
TAUS_TRUEHADTAU_SME_TES_INSITUEXP_1down,122.90962219238281,9919.634765625,103.17576599121094,10980.8681640625,152.54133534431458,163.72240352630615
TAUS_TRUEHADTAU_SME_TES_INSITUFIT_1down,122.90962219238281,9832.123046875,103.17576599121094,10908.96875,152.54133534431458,162.83985042572021
TAUS_TRUEHADTAU_SME_TES_MODEL_CLOSURE_1down,122.90962219238281,9976.4287109375,103.17576599121094,11055.4326171875,152.54133534431458,164.61173152923584
TAUS_TRUEHADTAU_SME_TES_PHYSICSLIST_1down,123.4749526977539,9907.365234375,103.17576599121094,10990.056640625,152.54133534431458,163.9277105331421
